timestamp,session_id,validation_type,liquid_type,density_used,target_volume_ml,measured_volume_ml,accuracy_pct,replicate_number,volume_index,source_vial,destination_vial,aspirate_speed,dispense_speed,retract_speed,blowout_speed,aspirate_wait_time,dispense_wait_time,post_retract_wait_time,overaspirate_vol,pre_asp_air_vol,post_asp_air_vol,blowout_vol,asp_disp_cycles
20260312_120509,8fdaa86b,vial_to_vial,water,1,0.2,0.1999,-0.05,1,0,water,water,8,14,10,8,0,3.5437186,0,0.010501216,0,0.010581106,0.016158898,0
20260312_120509,8fdaa86b,vial_to_vial,water,1,0.2,0.2012,0.6,2,0,water,water,8,14,10,8,0,3.5437186,0,0.010501216,0,0.010581106,0.016158898,0
20260312_120509,8fdaa86b,vial_to_vial,water,1,0.2,0.2021,1.05,3,0,water,water,8,14,10,8,0,3.5437186,0,0.010501216,0,0.010581106,0.016158898,0
20260312_120509,8fdaa86b,vial_to_vial,water,1,0.2,0.2021,1.05,4,0,water,water,8,14,10,8,0,3.5437186,0,0.010501216,0,0.010581106,0.016158898,0
20260312_120509,8fdaa86b,vial_to_vial,water,1,0.2,0.2024,1.2,5,0,water,water,8,14,10,8,0,3.5437186,0,0.010501216,0,0.010581106,0.016158898,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.15,0.1514,0.933333333,1,0,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.15,0.1505,0.333333333,2,0,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.15,0.15025,0.166666667,3,0,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.15,0.1504,0.266666667,4,0,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.15,0.1503,0.2,5,0,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.1,0.10046,0.46,1,1,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.1,0.0996,-0.4,2,1,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.1,0.0997,-0.3,3,1,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.1,0.09962,-0.38,4,1,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.1,0.0995,-0.5,5,1,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.07,0.069,-1.428571429,1,2,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.07,0.0686,-2,2,2,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.07,0.069,-1.428571429,3,2,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.07,0.0683,-2.428571429,4,2,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_120735,c784ae33,vial_to_vial,water,1,0.07,0.069,-1.428571429,5,2,water,water,15,10,5,15,0.5,1.5,0,0.005139916,0.112,0,0,0
20260312_122450,23442083,vial_to_vial,water,1.0,0.2,0.19640000000000057,-1.7999999999997185,1,0,water,water,8,14,10,8,0.0,3.5437186,0.0,0.010501216000000006,0.0,0.010581106,0.016158898,0
20260312_122450,23442083,vial_to_vial,water,1.0,0.2,0.2010000000000023,0.5000000000011384,2,0,water,water,8,14,10,8,0.0,3.5437186,0.0,0.010501216000000006,0.0,0.010581106,0.016158898,0
20260312_122450,23442083,vial_to_vial,water,1.0,0.2,0.20379999999999754,1.8999999999987638,3,0,water,water,8,14,10,8,0.0,3.5437186,0.0,0.010501216000000006,0.0,0.010581106,0.016158898,0
