vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,Assay_reagent_1,large_vial_rack,0,8.299999999999997,False,none,20_mL,large_vial_rack,0
1,Assay_reagent_2,large_vial_rack,1,8.299999999999997,False,none,20_mL,large_vial_rack,1
2,Assay_reagent_3,large_vial_rack,2,8.299999999999997,False,none,20_mL,large_vial_rack,2
3,COF_1,photoreactor_array,0,4.550000000000002,True,open,8_mL,main_8mL_rack,0
4,60_min_Reaction_Set1,main_8mL_rack,1,1.4000000000000001,True,open,8_mL,main_8mL_rack,1
5,120_min_Reaction_Set1,main_8mL_rack,2,1.4000000000000001,True,open,8_mL,main_8mL_rack,2
6,180_min_Reaction_Set1,main_8mL_rack,3,1.4000000000000001,True,open,8_mL,main_8mL_rack,3
7,240_min_Reaction_Set1,main_8mL_rack,4,1.95,True,open,8_mL,main_8mL_rack,4
8,300_min_Reaction_Set1,main_8mL_rack,5,1.95,True,open,8_mL,main_8mL_rack,5
9,360_min_Reaction_Set1,main_8mL_rack,6,1.95,True,open,8_mL,main_8mL_rack,6
10,COF_2,main_8mL_rack,12,4.700000000000001,True,open,8_mL,main_8mL_rack,12
11,1_min_Reaction_Set2,main_8mL_rack,13,1.4,True,open,8_mL,main_8mL_rack,13
12,6_min_Reaction_Set2,main_8mL_rack,14,1.4,True,open,8_mL,main_8mL_rack,14
13,11_min_Reaction_Set2,main_8mL_rack,15,1.4,True,open,8_mL,main_8mL_rack,15
14,20_min_Reaction_Set2,main_8mL_rack,16,1.4,True,open,8_mL,main_8mL_rack,16
15,30_min_Reaction_Set2,main_8mL_rack,17,1.4,True,open,8_mL,main_8mL_rack,17
16,45_min_Reaction_Set2,main_8mL_rack,18,1.4,True,open,8_mL,main_8mL_rack,18
17,COF_3,main_8mL_rack,24,4.8500000000000005,True,open,8_mL,main_8mL_rack,24
18,1_min_Reaction_Set3,main_8mL_rack,25,1.4,True,open,8_mL,main_8mL_rack,25
19,6_min_Reaction_Set3,main_8mL_rack,26,1.4,True,open,8_mL,main_8mL_rack,26
20,11_min_Reaction_Set3,main_8mL_rack,27,1.4,True,open,8_mL,main_8mL_rack,27
21,20_min_Reaction_Set3,main_8mL_rack,28,1.95,True,open,8_mL,main_8mL_rack,28
22,30_min_Reaction_Set3,main_8mL_rack,29,1.95,True,open,8_mL,main_8mL_rack,29
23,45_min_Reaction_Set3,main_8mL_rack,30,1.95,True,open,8_mL,main_8mL_rack,30
24,water,main_8mL_rack,36,7.0,True,open,8_mL,main_8mL_rack,36
