vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,DTAB,main_8mL_rack,12,7.983,True,open,8_mL,main_8mL_rack,12
1,CAPB,main_8mL_rack,13,3.17,True,open,8_mL,main_8mL_rack,13
2,TTAB,main_8mL_rack,14,4.0,True,open,8_mL,main_8mL_rack,14
3,CTAB,main_8mL_rack,15,8.0,True,open,8_mL,main_8mL_rack,15
4,SDS,main_8mL_rack,16,8.0,True,open,8_mL,main_8mL_rack,16
5,NaC,main_8mL_rack,17,3.5,True,open,8_mL,main_8mL_rack,17
22,water_large,large_vial_rack,2,17.764999999999997,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.4997899999999996,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.0,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.0,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.0,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.0,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.0,True,open,8_mL,main_8mL_rack,5
16,substock_7,main_8mL_rack,6,0.0,True,open,8_mL,main_8mL_rack,6
17,substock_8,main_8mL_rack,7,0.0,True,open,8_mL,main_8mL_rack,7
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,main_8mL_rack,47,4.699999999999996,False,none,8_mL,main_8mL_rack,47
